,Q1'24,Q1'24,Q1'24,Q2'24,Q2'24,Q2'24,Q3'24,Q3'24,Q3'24,Q4'24,Q4'24,Q4'24,Q1'25,Q1'25,Q1'25,Q2'25,Q2'25,Q2'25,Q3'25,Q3'25,Q3'25,Q4'25,Q4'25,Q4'25
,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Fcst,Fcst,Fcst,Fcst,Fcst,Fcst
,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
TOTAL TRIAL CVR % (Incl. Partnership),60.3%,59.3%,58.1%,56.6%,60.3%,61.1%,60.5%,60.7%,57.2%,55.9%,56.9%,56.0%,53.7%,59.7%,57.1%,57.8%,55.7%,51.0%,46.2%,50.6%,55.6%,57.4%,56.3%,56.6%
,,,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP TOTALS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Consumer Members,"748,277","776,405","807,580","833,505","859,143","894,654","941,207","992,544","1,041,600","1,089,437","1,131,355","1,177,957","1,284,887","1,336,674","1,384,094","1,429,020","1,468,187","1,551,735","1,635,218","1,731,529","1,809,801","1,880,720","1,960,649","2,055,401"
   New Members (Activations),"47,072","48,584","49,646","48,408","56,124","65,026","74,422","80,077","75,728","75,628","73,876","140,896","88,164","80,074","82,386","75,834","113,634","119,813","142,071","130,226","123,622","132,609","142,890","204,951"
   Churned Members,"(27,616)","(24,267)","(31,055)","(30,557)","(28,771)","(26,120)","(31,067)","(38,798)","(37,036)","(42,854)","(37,877)","(49,871)","(50,664)","(44,216)","(51,486)","(49,995)","(52,712)","(54,204)","(62,887)","(66,767)","(67,356)","(67,214)","(62,395)","(81,726)"
     Returns & Trial Cancellation,"(1,064)",(857),"(1,651)","(1,240)",(892),"(1,002)","(1,399)","(1,517)","(1,392)","(1,960)","(1,620)","(2,032)","(2,090)","(2,168)","(2,691)","(1,742)","(2,549)","(2,408)","(4,553)","(3,318)","(3,505)","(3,585)","(3,475)","(4,127)"
     Churn (excl. M1),"(26,552)","(23,410)","(29,404)","(29,317)","(27,879)","(25,118)","(29,668)","(37,281)","(35,644)","(40,894)","(36,257)","(47,839)","(48,574)","(42,048)","(48,795)","(48,253)","(50,163)","(51,796)","(58,334)","(63,449)","(63,851)","(63,629)","(58,920)","(77,599)"
   Re-Engaged Members / Legacy,"8,672","6,858","7,334","7,787","8,158","7,647","7,982","7,777","9,145","9,144","10,603","15,905","14,287","11,562","14,026","13,328","22,626","17,874","17,128","14,813","14,653","14,533","14,258","15,569"
Ending Consumer Members,"776,405","807,580","833,505","859,143","894,654","941,207","992,544","1,041,600","1,089,437","1,131,355","1,177,957","1,284,887","1,336,674","1,384,094","1,429,020","1,468,187","1,551,735","1,635,218","1,731,529","1,809,801","1,880,720","1,960,649","2,055,401","2,194,196"
,,,,,,,,,,,,,,,,,,,,,,,,
Total Enterprise Members,"9,617","9,503","9,504","9,412","9,036","8,504","8,664","7,666","6,639","5,420","5,109","4,434","4,090","4,043","3,922","3,876","1,832","1,763","1,763","1,763","1,763","1,763","1,763","1,763"
Total Members,"786,022","817,083","843,009","868,555","903,690","949,711","1,001,208","1,049,266","1,096,076","1,136,775","1,183,066","1,289,321","1,340,764","1,388,137","1,432,942","1,472,063","1,553,567","1,636,981","1,733,292","1,811,564","1,882,483","1,962,412","2,057,164","2,195,959"
,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio - Consumer,2.3x,2.8x,2.3x,2.3x,3.0x,3.9x,3.5x,2.9x,2.9x,2.4x,4.5x,4.2x,2.4x,2.7x,2.5x,2.2x,5.0x,3.7x,3.8x,2.6x,2.4x,2.8x,4.3x,2.9x
% Churn,(3.5%),(3.0%),(3.6%),(3.5%),(3.2%),(2.8%),(3.2%),(3.8%),(3.4%),(3.8%),(3.2%),(4.1%),(3.8%),(3.1%),(3.5%),(3.4%),(3.4%),(3.3%),(3.6%),(3.7%),(3.5%),(3.4%),(3.0%),(3.8%)
Net Churn,(2.4%),(2.1%),(2.7%),(2.6%),(2.3%),(2.0%),(2.3%),(3.0%),(2.5%),(2.9%),(2.3%),(2.7%),(2.7%),(2.3%),(2.5%),(2.4%),(1.9%),(2.2%),(2.5%),(2.8%),(2.7%),(2.6%),(2.3%),(3.0%)
,,,,,,,,,,,,,,,,,,,,,,,,
Returns,356,181,302,296,267,139,244,258,242,296,215,793,640,474,571,506,"1,116",973,"3,034","1,688","1,259",978,963,"1,256"
Month 1 Trial Churn,708,676,"1,349",944,625,863,"1,155","1,259","1,150","1,664","1,405","1,239","1,450","1,694","2,120","1,236","1,433","1,435","1,519","1,630","2,246","2,607","2,512","2,871"
Returns & Trial Cancellation,"1,064",857,"1,651","1,240",892,"1,002","1,399","1,517","1,392","1,960","1,620","2,032","2,090","2,168","2,691","1,742","2,549","2,408","4,553","3,318","3,505","3,585","3,475","4,127"
,,,,,,,,,,,,,,,,,,,,,,,,
DAM,"515,774","534,880","550,140","565,520","583,928","605,079","633,483","670,448","702,640","728,079","743,698","774,254","864,334","898,868","929,581","953,262","995,824","1,060,558","1,105,850","1,169,391","1,229,173","1,271,540","1,319,322","1,381,171"
DAM %,67.7%,67.5%,67.0%,66.8%,66.6%,65.9%,65.5%,65.9%,65.9%,65.6%,64.4%,62.9%,65.9%,66.1%,66.1%,65.8%,66.0%,66.6%,65.7%,66.0%,66.6%,66.2%,65.7%,65.0%
,,,,,,,,,,,,,,,,,,,,,,,,
MARKETING SPEND & BLENDED CAC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CAC Spend,"$3,492,234 ","$3,435,963 ","$3,655,884 ","$4,026,220 ","$4,208,841 ","$4,116,197 ","$5,443,466 ","$4,905,160 ","$4,849,985 ","$6,101,148 ","$9,146,306 ","$8,873,614 ","$7,858,580 ","$5,201,422 ","$3,596,411 ","$4,758,350 ","$11,738,474 ","$8,013,513 ","$9,684,749 ","$7,728,612 ","$7,649,249 ","$7,721,757 ","$11,504,367 ","$11,231,261 "
BLENDED CAC,$81.89,$72.90,$70.82,$78.25,$69.96,$59.37,$69.47,$56.93,$62.12,$77.55,$78.89,$65.16,$93.91,$62.57,$40.54,$60.62,$83.33,$62.95,$60.59,$60.27,$61.90,$55.27,$59.32,$60.36
,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
New Demand (Excl Unite & Upcycle),"41,844","46,318","50,769","50,663","59,276","68,285","77,209","84,885","76,636","77,343","114,756","134,922","82,196","81,499","87,119","76,723","129,975","119,424","131,512","115,658","114,748","133,829","189,367","182,264"
4.0,"41,844","46,318","50,769","50,663","59,276","68,285","77,209","84,885","76,636","77,343","114,756","134,922","82,196","81,499","87,119","76,723","45,476","31,203","22,482","2,175",-,-,-,-
One,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,373","12,558","14,300","20,956","24,231","28,134","29,962","35,561"
Pro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"40,968","44,497","53,417","58,262","60,081","69,933","99,773","94,340"
Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"34,158","31,166","41,313","34,265","30,436","35,762","59,632","52,363"
,,,,,,,,,,,,,,,,,,,,,,,,
Upgraders,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"290,446","81,266","62,699","50,043","40,021","30,497","32,218","32,101"
4.0,,,,,,,,,,,,,,,,,,,,,,,,
One,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,843,897,"1,079","1,069",959,671,609,619
Pro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"139,337","48,740","39,986","32,048","25,771","19,464","20,576","20,586"
Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"150,266","31,629","21,634","16,926","13,291","10,361","11,033","10,896"
,,,,,,,,,,,,,,,,,,,,,,,,
Total New Demand & Upgrades,"41,844","46,318","50,769","50,663","59,276","68,285","77,209","84,885","76,636","77,343","114,756","134,922","82,196","81,499","87,119","76,723","420,421","200,690","194,210","165,701","154,769","164,326","221,585","214,365"
4.0,"41,844","46,318","50,769","50,663","59,276","68,285","77,209","84,885","76,636","77,343","114,756","134,922","82,196","81,499","87,119","76,723","45,476","31,203","22,482","2,175",-,-,-,-
One,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,216","13,455","15,379","22,025","25,189","28,805","30,571","36,180"
Pro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,305","93,237","93,403","90,310","85,852","89,397","120,349","114,926"
Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"184,424","62,795","62,947","51,191","43,728","46,123","70,664","63,259"
,,,,,,,,,,,,,,,,,,,,,,,,
Total Membership,"786,022","817,083","843,009","868,555","903,690","949,711","1,001,208","1,049,266","1,096,076","1,136,775","1,183,066","1,289,321","1,340,764","1,388,137","1,432,942","1,472,063","1,553,567","1,636,981","1,733,292","1,811,564","1,882,483","1,962,412","2,057,164","2,195,959"
